fund_code,fund_name,report_date,stock_code,stock_name,weight,status
017811,东方人工智能主题混合C,2026-06-30,300567,精测电子,0.0869,ok
017811,东方人工智能主题混合C,2026-06-30,688409,富创精密,0.0757,ok
017811,东方人工智能主题混合C,2026-06-30,688072,拓荆科技,0.0744,ok
017811,东方人工智能主题混合C,2026-06-30,688256,寒武纪,0.0704,ok
017811,东方人工智能主题混合C,2026-06-30,688082,盛美上海,0.0687,ok
018927,南方中证电池主题ETF发起联接C,2026-06-30,300274,阳光电源,0.32,ok
018927,南方中证电池主题ETF发起联接C,2026-06-30,300750,宁德时代,0.29,ok
018927,南方中证电池主题ETF发起联接C,2026-06-30,300014,亿纬锂能,0.18,ok
018927,南方中证电池主题ETF发起联接C,2026-06-30,2050,三花智控,0.18,ok
018927,南方中证电池主题ETF发起联接C,2026-06-30,2709,天赐材料,0.13,ok
018927,南方中证电池主题ETF发起联接C,2026-06-30,605117,德业股份,0.11,ok
018927,南方中证电池主题ETF发起联接C,2026-06-30,2407,多氟多,0.11,ok
018927,南方中证电池主题ETF发起联接C,2026-06-30,300390,天华新能,0.1,ok
018927,南方中证电池主题ETF发起联接C,2026-06-30,300037,新宙邦,0.09,ok
018927,南方中证电池主题ETF发起联接C,2026-06-30,301511,德福科技,0.08,ok
018957,中航机遇领航混合发起C,2026-06-30,300502,新易盛,0.0991,ok
018957,中航机遇领航混合发起C,2026-06-30,300308,中际旭创,0.0941,ok
018957,中航机遇领航混合发起C,2026-06-30,300394,天孚通信,0.0907,ok
018957,中航机遇领航混合发起C,2026-06-30,688048,长光华芯,0.0742,ok
018957,中航机遇领航混合发起C,2026-06-30,600183,生益科技,0.0677,ok
018957,中航机遇领航混合发起C,2026-06-30,600105,永鼎股份,0.0646,ok
018957,中航机遇领航混合发起C,2026-06-30,688313,仕佳光子,0.0557,ok
018957,中航机遇领航混合发起C,2026-06-30,601869,长飞光纤,0.0487,ok
018957,中航机遇领航混合发起C,2026-06-30,601138,工业富联,0.0473,ok
018957,中航机遇领航混合发起C,2026-06-30,725,京东方A,0.0377,ok
018994,中欧数字经济混合发起C,2026-06-30,300308,中际旭创,0.087,ok
018994,中欧数字经济混合发起C,2026-06-30,300502,新易盛,0.0833,ok
